'Titulo','Direção','Nota','Link','Ano','Categoria'
'A Noviça Rebelde','Robert Wise','4.6','https://www.adorocinema.com/filmes/filme-238/','3 de maio de 1965','N/A'
'Batman - O Cavaleiro Das Trevas Ressurge','Christopher Nolan','4.0','https://www.adorocinema.com/filmes/filme-132874/','27 de julho de 2012','N/A'
'Procurando Nemo','Andrew Stanton.                                                                                                                                                                                                                                Lee Unkrich','4.5','https://www.adorocinema.com/filmes/filme-29057/','4 de julho de 2003','N/A'
'Seven - Os Sete Crimes Capitais','David Fincher','4.6','https://www.adorocinema.com/filmes/filme-13892/','15 de dezembro de 1995','N/A'
'Extraordinário','Stephen Chbosky','3.7','https://www.adorocinema.com/filmes/filme-232132/','7 de dezembro de 2017','N/A'
'Harry Potter E O Prisioneiro De Azkaban','Alfonso Cuarón','4.6','https://www.adorocinema.com/filmes/filme-46865/','4 de junho de 2004','N/A'
'Top Gun: Maverick','Joseph Kosinski','4.0','https://www.adorocinema.com/filmes/filme-186636/','26 de maio de 2022','N/A'
'Up - Altas Aventuras','Pete Docter.                                                                                                                                                                                                                                Bob Peterson','4.6','https://www.adorocinema.com/filmes/filme-130368/','4 de setembro de 2009','N/A'
'Titanic','James Cameron','4.1','https://www.adorocinema.com/filmes/filme-5818/','16 de janeiro de 1998','N/A'
'Coração Valente','Mel Gibson','4.6','https://www.adorocinema.com/filmes/filme-10080/','14 de julho de 1995','N/A'
'Os Vingadores - The Avengers','Joss Whedon','4.0','https://www.adorocinema.com/filmes/filme-130440/','27 de abril de 2012','N/A'
'Cidade De Deus','Fernando Meirelles.                                                                                                                                                                                                                                Kátia Lund','4.6','https://www.adorocinema.com/filmes/filme-45264/','30 de agosto de 2002','N/A'
'Luzes Da Cidade','Charles Chaplin','4.6','https://www.adorocinema.com/filmes/filme-2256/','7 de março de 1931','N/A'
'Eu Só Posso Imaginar','Andrew Erwin.                                                                                                                                                                                                                                Jon Erwin','2.2','https://www.adorocinema.com/filmes/filme-253104/','31 de maio de 2018','N/A'
'Psicose','Alfred Hitchcock','4.6','https://www.adorocinema.com/filmes/filme-1603/','25 de agosto de 1960','N/A'
'O Menino Do Pijama Listrado','Mark Herman','4.6','https://www.adorocinema.com/filmes/filme-135215/','12 de dezembro de 2008','N/A'
'Diário De Uma Paixão','Nick Cassavetes','4.6','https://www.adorocinema.com/filmes/filme-47422/','13 de agosto de 2004','N/A'
'Your Name','Makoto Shinkai','4.6','https://www.adorocinema.com/filmes/filme-249877/','11 de outubro de 2017','N/A'
'O Exterminador Do Futuro 2 - O Julgamento Final','James Cameron','4.6','https://www.adorocinema.com/filmes/filme-7124/','1 de agosto de 1991','N/A'
'El Cuerpo','Oriol Paulo','4.6','https://www.adorocinema.com/filmes/filme-215345/','2012','N/A'
'Som Da Liberdade','Alejandro Monteverde','4.6','https://www.adorocinema.com/filmes/filme-267218/','21 de setembro de 2023','N/A'
'Tropa De Elite','José Padilha','4.6','https://www.adorocinema.com/filmes/filme-133548/','12 de outubro de 2007','N/A'
'12 Anos De Escravidão','Steve McQueen (II)','3.9','https://www.adorocinema.com/filmes/filme-196885/','21 de fevereiro de 2014','N/A'
'A Paixão De Cristo','Mel Gibson','4.6','https://www.adorocinema.com/filmes/filme-47326/','19 de março de 2004','N/A'
'A Felicidade Não Se Compra','Frank Capra','4.6','https://www.adorocinema.com/filmes/filme-5762/','14 de fevereiro de 1947','N/A'
'Clube Da Luta','N/A','4.6','https://www.adorocinema.com/filmes/filme-21189/','29 de outubro de 1999','N/A'
'O Poderoso Chefão 3','Francis Ford Coppola','4.6','https://www.adorocinema.com/filmes/filme-6608/','20 de dezembro de 1974','N/A'
'De Volta Para O Futuro 2','Robert Zemeckis','4.6','https://www.adorocinema.com/filmes/filme-5247/','14 de dezembro de 1989','N/A'
'Star Wars','George Lucas','4.6','https://www.adorocinema.com/filmes/filme-25801/','30 de janeiro de 1978','N/A'
'Monstros S.A.','Pete Docter.                                                                                                                                                                                                                                David Silverman.                                                                                                                                                                                                                                Lee Unkrich','4.3','https://www.adorocinema.com/filmes/filme-26862/','14 de novembro de 2001','N/A'
'Questão De Tempo','Richard Curtis','3.4','https://www.adorocinema.com/filmes/filme-201760/','20 de dezembro de 2013','N/A'
'Shrek','Andrew Adamson.                                                                                                                                                                                                                                Vicky Jenson','4.6','https://www.adorocinema.com/filmes/filme-27415/','22 de junho de 2001','N/A'
'...E O Vento Levou','Victor Fleming.                                                                                                                                                                                                                                George Cukor.                                                                                                                                                                                                                                Sam Wood','4.6','https://www.adorocinema.com/filmes/filme-27782/','1 de janeiro de 1940','N/A'
'O Quarto De Jack','Lenny Abrahamson','4.1','https://www.adorocinema.com/filmes/filme-228263/','18 de fevereiro de 2016','N/A'
